PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 91,11099,Off the Dribble,Right,4,BallVeloRelease,5.897,5.8,-0.097,maxKneeFlexionAvgPostHitch__zwithin,-2.725,0.453,3.178,TorsoVeloRelease,1.674,1.788,0.115,BallVeloRelease__zwithin,-1.357,-1.683,-0.326,maxElbowExtensionDominantPostHitch,7.3,11.619,4.32
Player 91,11102,Catch and Shoot,Right,4,BallVeloRelease__zwithin,-1.15,-0.65,0.5,maxTorsoFlexionPostHitch,4.979,-0.37,-5.349,TorsoVeloRelease,1.705,1.861,0.156,maxElbowExtensionNonDominantPostHitch,16.005,16.06,0.055,BallVeloRelease,5.959,6.295,0.336
Player 91,11108,Catch and Shoot,Right,4,maxElbowExtensionDominantPostHitch,6.744,12.232,5.488,BallVeloRelease__zwithin,-0.839,-0.339,0.5,maxAnklePlantarflexionDomDiffPostHitch,-8.195,-6.556,1.639,maxElbowExtensionNonDominantPostHitch,16.261,16.06,-0.201,maxElbowExtensionAvgPostHitch,11.503,13.886,2.384
Player 91,11111,Off the Dribble,Right,4,maxTorsoFlexionPostHitch,4.868,4.868,0.0,BallVeloPreHitch,6.623,6.623,0.0,BallVeloRelease__zwithin,-0.584,-1.084,-0.5,maxAnklePlantarflexionDomDiffPostHitch,-9.948,-7.958,1.99,TorsoVeloRelease,1.738,1.788,0.051
Player 91,11113,Off the Dribble,Right,4,TorsoVeloRelease,1.941,1.788,-0.152,maxTorsoFlexionPostHitch,4.654,4.868,0.213,maxShoulderExtensionDominantHitch__zwithin,0.751,-0.241,-0.992,maxElbowExtensionNonDominantPostHitch,16.02,13.988,-2.032,BallVeloRelease__zwithin,-0.202,-0.702,-0.5
Player 91,11118,Off the Dribble,Right,4,maxTorsoFlexionPostHitch,5.278,4.868,-0.41,BallVeloRelease,5.764,5.8,0.036,BallVeloRelease__zwithin,-1.805,-1.683,0.122,TorsoVeloRelease,1.788,1.788,0.0,BallVeloPreHitch,6.735,6.623,-0.112
Player 91,11120,Off the Dribble,Right,4,BallVeloRelease,5.8,5.8,0.0,BallVeloRelease__zwithin,-1.683,-1.683,0.0,TorsoVeloRelease,1.884,1.788,-0.095,maxTorsoFlexionPostHitch,4.146,4.868,0.721,maxElbowExtensionNonDominantPostHitch,12.404,13.988,1.584
Player 91,11121,Off the Dribble,Right,4,BallVeloRelease,5.575,5.8,0.225,BallVeloRelease__zwithin,-2.44,-1.94,0.5,TorsoVeloRelease,1.785,1.788,0.003,maxTorsoFlexionPostHitch,4.11,4.868,0.758,ElbowFlexionAtT0NonDominant,53.243,64.955,11.713
Player 91,11122,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.089,0.871,-0.218,TorsoVeloRelease,1.948,1.861,-0.087,ShoulderAlignmentPostHitch__zwithin,1.029,0.823,-0.206,HipAlignmentPostHitch__zwithin,0.872,0.697,-0.174,HipAlignmentHitch__zwithin,1.052,0.841,-0.21
Player 91,11124,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.153,0.923,-0.231,HipAlignmentRelease__zwithin,0.913,0.73,-0.183,HipAlignmentPostHitch__zwithin,0.957,0.766,-0.191,ShoulderAlignmentPostHitch__zwithin,1.027,0.821,-0.205,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.648,-0.274,0.374
Player 91,11125,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.053,0.842,-0.211,HipAlignmentPostHitch__zwithin,0.96,0.768,-0.192,HipAlignmentRelease__zwithin,0.874,0.699,-0.175,ShoulderAlignmentPostHitch__zwithin,0.979,0.783,-0.196,maxElbowExtensionNonDominantPostHitch,21.869,16.06,-5.809
Player 91,11127,Catch and Shoot,Right,4,BallVeloRelease,5.862,6.295,0.434,TorsoVeloRelease,1.813,1.861,0.048,BallVeloRelease__zwithin,-1.477,-0.977,0.5,BallVeloPreHitch,7.115,6.459,-0.656,ElbowFlexionAtT0NonDominant,50.982,62.982,12.0
Player 91,11130,Off the Dribble,Right,4,HipAlignmentPreHitch__zwithin,1.105,0.884,-0.221,HipAlignmentRelease__zwithin,0.906,0.725,-0.181,HipAlignmentPostHitch__zwithin,0.945,0.756,-0.189,ShoulderAlignmentPostHitch__zwithin,1.085,0.868,-0.217,maxElbowExtensionNonDominantPostHitch,18.295,13.988,-4.307
Player 91,11131,Off the Dribble,Right,4,maxTorsoFlexionPostHitch,4.9,4.868,-0.032,BallVeloRelease__zwithin,-1.15,-1.65,-0.5,BallVeloRelease,5.959,5.8,-0.159,TorsoVeloRelease,1.77,1.788,0.018,maxElbowExtensionAvgPostHitch,11.705,12.804,1.098
Player 91,11132,Off the Dribble,Right,4,BallVeloRelease,5.878,5.8,-0.078,HipAlignmentPreHitch__zwithin,1.165,0.932,-0.233,HipAlignmentPostHitch__zwithin,0.969,0.775,-0.194,BallVeloRelease__zwithin,-1.422,-1.683,-0.261,TorsoVeloRelease,1.871,1.788,-0.082
Player 91,11133,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.01,0.808,-0.202,HipAlignmentRelease__zwithin,0.912,0.729,-0.182,HipAlignmentPostHitch__zwithin,0.923,0.738,-0.185,ShoulderAlignmentPostHitch__zwithin,0.988,0.79,-0.198,maxElbowExtensionNonDominantPostHitch,16.025,16.06,0.035
Player 91,11134,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.052,0.842,-0.21,HipAlignmentRelease__zwithin,0.907,0.726,-0.181,HipAlignmentPostHitch__zwithin,0.951,0.76,-0.19,ShoulderAlignmentRelease__zwithin,0.958,0.766,-0.192,maxElbowExtensionNonDominantPostHitch,10.669,16.06,5.391
Player 91,11135,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.075,0.86,-0.215,HipAlignmentRelease__zwithin,0.883,0.707,-0.177,HipAlignmentPostHitch__zwithin,0.96,0.768,-0.192,ShoulderAlignmentPostHitch__zwithin,1.0,0.8,-0.2,BallVeloRelease__zwithin,-0.964,-0.464,0.5
Player 91,11136,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.046,0.837,-0.209,HipAlignmentRelease__zwithin,0.876,0.701,-0.175,HipAlignmentPostHitch__zwithin,0.939,0.751,-0.188,ShoulderAlignmentPostHitch__zwithin,1.006,0.805,-0.201,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.768,-0.274,0.494
Player 91,11137,Off the Dribble,Right,4,BallVeloRelease,5.842,5.8,-0.042,HipAlignmentPreHitch__zwithin,1.075,0.86,-0.215,HipAlignmentRelease__zwithin,0.893,0.715,-0.179,HipAlignmentPostHitch__zwithin,0.917,0.733,-0.183,BallVeloRelease__zwithin,-1.542,-1.683,-0.141
Player 91,11138,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.076,0.861,-0.215,TorsoVeloPostHitch__zwithin,-3.114,-2.491,0.623,HipAlignmentRelease__zwithin,0.895,0.716,-0.179,HipAlignmentPostHitch__zwithin,0.98,0.784,-0.196,ShoulderAlignmentPostHitch__zwithin,0.967,0.774,-0.193
Player 91,11139,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.105,0.884,-0.221,HipAlignmentRelease__zwithin,0.898,0.718,-0.18,HipAlignmentPostHitch__zwithin,0.989,0.791,-0.198,TorsoVeloRelease,2.068,1.861,-0.207,ShoulderAlignmentPostHitch__zwithin,1.037,0.83,-0.207
Player 91,11140,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.082,0.865,-0.216,HipAlignmentPostHitch__zwithin,0.96,0.768,-0.192,HipAlignmentRelease__zwithin,0.863,0.69,-0.173,maxElbowExtensionNonDominantPostHitch,18.615,16.06,-2.555,ShoulderAlignmentPostHitch__zwithin,1.021,0.817,-0.204
Player 91,11141,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.098,0.878,-0.22,HipAlignmentRelease__zwithin,0.878,0.702,-0.176,HipAlignmentPostHitch__zwithin,0.933,0.747,-0.187,ShoulderAlignmentPostHitch__zwithin,1.004,0.804,-0.201,maxElbowExtensionAvgPostHitch,13.809,13.886,0.077
Player 91,11142,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.094,0.875,-0.219,HipAlignmentPostHitch__zwithin,0.905,0.724,-0.181,ShoulderAlignmentPostHitch__zwithin,0.946,0.757,-0.189,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.768,-0.274,0.494,maxElbowExtensionNonDominantPostHitch,11.638,16.06,4.422
Player 91,11143,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.146,0.917,-0.229,HipAlignmentRelease__zwithin,0.915,0.732,-0.183,HipAlignmentPostHitch__zwithin,0.988,0.791,-0.198,ShoulderAlignmentPostHitch__zwithin,1.024,0.819,-0.205,TorsoVeloRelease,2.049,1.861,-0.188
Player 91,11144,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.056,0.844,-0.211,HipAlignmentRelease__zwithin,0.932,0.745,-0.186,HipAlignmentPostHitch__zwithin,0.955,0.764,-0.191,ShoulderAlignmentPostHitch__zwithin,1.032,0.825,-0.206,maxElbowExtensionNonDominantPostHitch,13.754,16.06,2.306
Player 91,11145,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.056,0.845,-0.211,HipAlignmentPostHitch__zwithin,0.961,0.769,-0.192,TorsoVeloRelease,2.01,1.861,-0.149,ShoulderAlignmentPostHitch__zwithin,1.05,0.84,-0.21,HipAlignmentRelease__zwithin,0.868,0.694,-0.174
Player 91,11146,Catch and Shoot,Right,4,BallVeloRelease,5.826,6.295,0.47,HipAlignmentPreHitch__zwithin,1.098,0.879,-0.22,HipAlignmentRelease__zwithin,0.882,0.705,-0.176,BallVeloRelease__zwithin,-1.598,-1.098,0.5,TorsoVeloRelease,1.692,1.861,0.169
Player 91,11147,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.171,0.937,-0.234,ElbowFlexionAtT0Dominant,68.182,73.438,5.255,HipAlignmentPostHitch__zwithin,0.978,0.782,-0.196,HipAlignmentRelease__zwithin,0.876,0.701,-0.175,BallVeloRelease__zwithin,-1.192,-0.692,0.5
Player 91,11149,Catch and Shoot,Right,4,ElbowFlexionAtT0Dominant,58.33,70.33,12.0,TorsoVeloRelease__zwithin,2.673,2.138,-0.535,TorsoVeloRelease,2.257,1.861,-0.396,BallVeloRelease__zwithin,0.024,-0.02,-0.044,maxElbowExtensionAvgPostHitch,10.158,13.886,3.728
Player 91,11151,Catch and Shoot,Right,4,TorsoVeloRelease,2.029,1.861,-0.168,BallVeloRelease__zwithin,-1.292,-0.792,0.5,ElbowFlexionAtT0Dominant,66.463,73.438,6.975,BallVeloRelease,5.917,6.295,0.379,maxElbowExtensionAvgPostHitch,13.367,13.886,0.519
Player 91,11152,Off the Dribble,Right,4,TorsoVeloRelease,1.954,1.788,-0.166,BallVeloRelease__zwithin,-0.755,-1.255,-0.5,maxElbowExtensionAvgPostHitch,10.527,12.804,2.277,maxElbowExtensionNonDominantPostHitch,10.727,13.988,3.26,maxElbowExtensionDominantPostHitch,10.326,11.619,1.294
Player 91,11155,Catch and Shoot,Right,4,BallVeloRelease__zwithin,-1.179,-0.679,0.5,TorsoVeloRelease,1.912,1.861,-0.051,BallVeloRelease,5.95,6.295,0.345,maxElbowExtensionNonDominantPostHitch,19.264,16.06,-3.204,maxKneeExtensionAvgPostHitch,-21.295,-15.459,5.837
Player 91,11158,Catch and Shoot,Right,4,BallVeloRelease__zwithin,-1.216,-0.716,0.5,TorsoVeloRelease,2.079,1.861,-0.218,BallVeloRelease,5.939,6.295,0.356,BallVeloPreHitch,6.89,6.459,-0.431,maxElbowExtensionAvgPostHitch,11.803,13.886,2.083
Player 91,11160,Catch and Shoot,Right,4,BallVeloRelease__zwithin,-1.087,-0.587,0.5,BallVeloRelease,5.978,6.295,0.318,TorsoVeloRelease,1.695,1.861,0.166,maxElbowExtensionNonDominantPostHitch,5.456,16.06,10.604,maxElbowExtensionAvgPostHitch,7.949,13.886,5.938
Player 91,11162,Catch and Shoot,Right,4,BallVeloRelease__zwithin,-0.774,-0.274,0.5,HipAlignmentRelease,-162.458,-129.966,32.492,TorsoTotalROMAvg__zwithin,0.71,0.568,-0.142,maxElbowExtensionAvgPostHitch,8.983,13.886,4.903,maxElbowExtensionDominantPostHitch,7.249,12.232,4.983
