PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 99,12594,Off the Dribble,Right,0,BallVeloStart,-0.084,0.2,0.284,maxKneeFlexionAvgPreHitch,-88.615,-88.005,0.61,,,,,,,,,,,,
Player 99,12601,Off the Dribble,Right,0,BallVeloStart,0.09,-0.1,-0.19,maxKneeExtensionAvgPostHitch,-22.723,-22.183,0.54,,,,,,,,,,,,
Player 99,12621,Catch and Shoot,Right,0,timeToMaxHipFlexionNonDominantPreHitch,0.016,0.1,0.084,TorsoVeloPostHitch,0.699,0.876,0.176,,,,,,,,,,,,
Player 99,12651,Off the Dribble,Right,0,maxTorsoFlexionPostHitch,2.683,2.757,0.074,ShoulderAlignmentRelease,114.011,126.636,12.625,,,,,,,,,,,,
Player 99,12655,Off the Dribble,Right,0,maxTorsoFlexionHitch,-3.352,-4.251,-0.899,TorsoVeloHitch,-0.173,0.135,0.307,maxTorsoFlexionPostHitch,2.423,0.695,-1.728,timeToMaxHipFlexionDominantPreHitch,0.009,0.2,0.191,,,,
Player 99,12668,Catch and Shoot,Right,0,BallVeloPreHitch,2.603,3.116,0.514,FeetAlignmentRelease,-167.227,-152.598,14.63,timeToMaxAnklePlantarflexionNonDominantPreHitch,0.1,0.167,0.067,maxHipExtensionNonDominantPostHitch,1.237,13.076,11.838,timeToMaxElbowFlexionDominantPreHitch,0.075,0.3,0.225
