PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4
Player 114,15554,Off the Dribble,Right,0,maxTorsoFlexionHitch,-1.58,-5.002,-3.422,maxKneeExtensionDominantPostHitch,-25.6,-22.084,3.516,timeToMaxAnklePlantarflexionNonDominantPreHitch,0.067,0.111,0.044,Max.Ball.Released..Away.from.body.,0.662,0.583,-0.079
Player 114,15575,Off the Dribble,Right,0,maxShoulderExtensionDominantPreHitch,-18.722,-16.235,2.488,maxHipFlexionDominantPreHitch,70.405,65.221,-5.184,BallVeloRelease,6.712,6.173,-0.539,,,,
Player 114,15602,Off the Dribble,Right,0,maxHipFlexionDominantPreHitch,67.536,62.085,-5.451,ankleFlexionAtT0Avg,29.018,26.456,-2.562,,,,,,,,
