PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 35,3100,Off the Dribble,Right,4,BallVeloRelease,5.434,5.226,-0.207,timeToMaxHipFlexionDomDiffPreHitch__zwithin,-1.458,0.129,1.587,BallVeloRelease__zwithin,0.024,-0.24,-0.264,maxElbowExtensionAvgPreHitch__zwithin,1.426,0.065,-1.361,TorsoVeloRelease__zwithin,-1.05,-0.55,0.5
Player 35,3101,Off the Dribble,Right,3,BallVeloRelease,4.133,4.96,0.827,maxElbowExtensionDominantPostHitch,2.167,14.167,12.0,maxElbowExtensionDomDiffPostHitch,-103.25,-91.25,12.0,maxKneeFlexionDominantPreHitch,-48.727,-60.727,-12.0,ankleTotalROMAvg,-38.735,-46.482,-7.747
Player 35,3102,Off the Dribble,Right,3,BallVeloRelease,4.25,5.1,0.85,maxTorsoExtensionHitch,8.736,2.981,-5.755,maxElbowExtensionDominantPostHitch,-0.006,11.994,12.0,maxElbowExtensionDomDiffPostHitch,-120.308,-108.308,12.0,maxAnkleDorsiflexionDomDiffPostHitch,19.682,15.746,-3.936
Player 35,3103,Off the Dribble,Right,3,BallVeloRelease,3.487,4.184,0.697,maxTorsoFlexionPostHitch,5.336,0.324,-5.012,timeToMaxShoulderFlexionDomDiffHitch__zwithin,-0.976,0.002,0.978,BallVeloRelease__zwithin,-2.454,-1.954,0.5,maxShoulderFlexionDominantPostHitch,36.021,48.021,12.0
Player 35,3104,Off the Dribble,Right,3,BallVeloRelease,4.732,5.226,0.495,ElbowFlexionAtT0Dominant,4.974,16.974,12.0,TorsoVeloPostHitch,0.492,0.992,0.5,maxAnkleDorsiflexionAvgHitch,12.91,15.492,2.582,maxKneeExtensionDomDiffHitch,-43.418,-31.418,12.0
Player 35,3140,Catch and Shoot,Right,3,BallVeloRelease,4.057,4.868,0.811,BallVeloRelease__zwithin,-1.729,-1.229,0.5,KneeTotalROMAvg,32.824,39.389,6.565,TorsoVeloRelease__zwithin,-1.606,-1.106,0.5,maxKneeFlexionDominantPreHitch,-52.17,-63.687,-11.517
Player 35,3141,Off the Dribble,Right,3,BallVeloRelease,4.478,5.226,0.749,ankleTotalROMAvg,-15.763,-18.916,-3.153,TorsoVeloPostHitch,0.125,0.625,0.5,TorsoVeloRelease__zwithin,-1.783,-1.283,0.5,KneeTotalROMAvg,28.947,34.736,5.789
Player 35,3143,Off the Dribble,Right,4,BallVeloRelease,4.74,5.226,0.487,ElbowFlexionAtT0Dominant,65.433,70.275,4.842,ShoulderAlignmentRelease__zwithin,-1.436,-1.149,0.287,BallVeloRelease__zwithin,-0.859,-0.359,0.5,timeToMaxShoulderFlexionDominantPostHitch,0.467,0.492,0.025
Player 35,3144,Off the Dribble,Right,4,BallVeloRelease,5.294,5.226,-0.068,ElbowFlexionAtT0Dominant,66.04,70.275,4.235,HipAlignmentPostHitch__zwithin,0.964,0.771,-0.193,HipAlignmentRelease__zwithin,1.067,0.853,-0.213,BallVeloRelease__zwithin,-0.154,-0.24,-0.086
Player 35,3145,Off the Dribble,Right,4,BallVeloRelease,4.772,5.226,0.454,HipAlignmentPreHitch__zwithin,1.101,0.881,-0.22,HipAlignmentRelease__zwithin,1.151,0.921,-0.23,HipAlignmentPostHitch__zwithin,0.971,0.777,-0.194,ShoulderAlignmentPostHitch__zwithin,1.081,0.865,-0.216
Player 35,3146,Off the Dribble,Right,4,ElbowFlexionAtT0Dominant,54.607,66.607,12.0,BallVeloRelease,5.66,5.226,-0.434,HipAlignmentPreHitch__zwithin,1.211,0.968,-0.242,HipAlignmentPostHitch__zwithin,1.117,0.894,-0.223,HipAlignmentRelease__zwithin,1.127,0.901,-0.225
Player 35,3147,Off the Dribble,Right,4,ElbowFlexionAtT0Dominant,49.198,61.198,12.0,BallVeloRelease,5.231,5.226,-0.004,HipAlignmentPreHitch__zwithin,0.992,0.794,-0.198,HipAlignmentPostHitch__zwithin,0.946,0.757,-0.189,HipAlignmentRelease__zwithin,1.121,0.897,-0.224
Player 35,3148,Off the Dribble,Right,4,BallVeloRelease,5.481,5.226,-0.254,HipAlignmentPreHitch__zwithin,1.114,0.892,-0.223,ElbowFlexionAtT0Dominant,68.306,70.275,1.968,HipAlignmentPostHitch__zwithin,1.185,0.948,-0.237,HipAlignmentRelease__zwithin,1.093,0.875,-0.219
Player 35,3149,Off the Dribble,Right,4,ElbowFlexionAtT0Dominant,52.226,64.226,12.0,HipAlignmentPreHitch__zwithin,1.028,0.823,-0.206,HipAlignmentPostHitch__zwithin,1.114,0.891,-0.223,HipAlignmentRelease__zwithin,1.285,1.028,-0.257,timeToMaxShoulderFlexionDominantPreHitch,0.05,0.125,0.075
Player 35,3153,Off the Dribble,Right,4,BallVeloRelease,5.902,5.226,-0.676,maxElbowExtensionDominantPostHitch,2.888,14.888,12.0,BallVeloStart__zwithin,-0.96,-0.46,0.5,maxAnklePlantarflexionDomDiffPostHitch,-11.225,-8.98,2.245,TorsoVeloRelease__zwithin,-0.205,0.205,0.41
Player 35,3154,Off the Dribble,Right,4,ElbowFlexionAtT0Dominant,62.314,70.275,7.961,BallVeloRelease,5.677,5.226,-0.451,maxElbowExtensionDominantPostHitch,2.246,14.246,12.0,TorsoVeloRelease__zwithin,-0.898,-0.398,0.5,maxElbowExtensionAvgPostHitch,11.118,21.181,10.063
Player 35,3164,Off the Dribble,Right,3,BallVeloRelease,4.551,5.226,0.675,ankleTotalROMAvg,-23.781,-28.537,-4.756,TorsoVeloPostHitch,0.166,0.666,0.5,KneeTotalROMAvg,35.627,42.753,7.125,maxAnklePlantarflexionAvgPostHitch,1.413,1.131,-0.283
Player 35,3165,Off the Dribble,Right,3,BallVeloRelease,4.164,4.997,0.833,TorsoVeloPostHitch,0.163,0.663,0.5,ankleTotalROMAvg,-26.549,-31.859,-5.31,timeToMaxAnkleDorsiflexionDomDiffHitch,0.225,0.18,-0.045,BallVeloRelease__zwithin,-1.592,-1.092,0.5
Player 35,3166,Off the Dribble,Right,3,BallVeloRelease,4.546,5.226,0.68,maxKneeFlexionAvgPostHitch__zwithin,-2.273,0.087,2.36,TorsoVeloPostHitch,0.15,0.65,0.5,maxKneeFlexionDominantPreHitch,-50.913,-62.913,-12.0,maxAnklePlantarflexionNonDominantPostHitch,-7.969,-9.562,-1.594
Player 35,3167,Off the Dribble,Right,3,BallVeloRelease,4.691,5.226,0.535,ankleTotalROMAvg,-24.849,-29.819,-4.97,TorsoVeloPostHitch,0.194,0.694,0.5,MaxStanceGapHitch,0.291,0.349,0.058,KneeTotalROMAvg,35.7,42.84,7.14
Player 35,3168,Off the Dribble,Right,3,BallVeloRelease,4.494,5.226,0.732,ankleTotalROMAvg,-24.759,-29.711,-4.952,TorsoVeloPostHitch,0.082,0.582,0.5,maxKneeFlexionAvgPostHitch__zwithin,-2.238,0.087,2.325,maxKneeFlexionDominantPreHitch,-54.387,-66.387,-12.0
Player 35,3169,Off the Dribble,Right,3,BallVeloRelease,4.194,5.033,0.839,ankleTotalROMAvg,-26.253,-31.504,-5.251,TorsoVeloPostHitch,0.067,0.567,0.5,timeToMaxAnkleDorsiflexionDomDiffHitch,0.167,0.134,-0.033,BallVeloRelease__zwithin,-1.554,-1.054,0.5
Player 35,3170,Off the Dribble,Right,3,BallVeloRelease,4.495,5.226,0.732,ankleTotalROMAvg,-27.134,-32.561,-5.427,timeToMaxAnkleDorsiflexionDomDiffHitch,0.15,0.12,-0.03,KneeTotalROMAvg,39.493,47.392,7.899,maxKneeFlexionDominantPreHitch,-50.555,-62.555,-12.0
Player 35,3171,Off the Dribble,Right,3,BallVeloRelease,4.494,5.226,0.732,ankleTotalROMAvg,-25.386,-30.463,-5.077,TorsoVeloPostHitch,0.39,0.89,0.5,KneeTotalROMAvg,39.516,47.419,7.903,maxKneeFlexionDominantPreHitch,-48.95,-60.95,-12.0
Player 35,3172,Off the Dribble,Right,3,BallVeloRelease,5.04,5.226,0.186,ankleTotalROMAvg,-28.638,-34.366,-5.728,TorsoVeloPostHitch,0.51,1.01,0.5,KneeTotalROMAvg,37.519,45.022,7.504,maxAnklePlantarflexionNonDominantPostHitch,-7.619,-9.143,-1.524
Player 35,3173,Off the Dribble,Right,3,BallVeloRelease,4.206,5.047,0.841,ankleTotalROMAvg,-14.613,-17.536,-2.923,TorsoVeloPostHitch,0.503,1.003,0.5,BallVeloRelease__zwithin,-1.538,-1.038,0.5,TorsoVeloRelease__zwithin,-1.286,-0.786,0.5
Player 35,3174,Off the Dribble,Right,3,BallVeloRelease,3.993,4.792,0.799,ankleTotalROMAvg,-14.593,-17.512,-2.919,TorsoVeloPostHitch,0.216,0.716,0.5,BallVeloRelease__zwithin,-1.809,-1.309,0.5,KneeTotalROMAvg,26.074,31.289,5.215
Player 35,3175,Off the Dribble,Right,3,BallVeloRelease,4.642,5.226,0.584,ankleTotalROMAvg,-19.895,-23.874,-3.979,maxElbowExtensionDominantPostHitch,6.855,17.334,10.478,TorsoVeloPostHitch,0.597,1.097,0.5,TorsoVeloRelease__zwithin,-1.551,-1.051,0.5
