PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4
Player 158,20990,Off the Dribble,Right,0,Max.Ball.Released..Away.from.body.,0.705,0.578,-0.126,,,,,,,,,,,,
Player 158,21042,Off the Dribble,Right,0,maxHipExtensionNonDominantPostHitch,8.979,4.035,-4.944,maxHipExtensionAvgPreHitch,62.334,50.612,-11.722,timeToMaxTorsoFlexionPostHitch,0.633,0.395,-0.238,,,,
Player 158,21049,Off the Dribble,Right,0,maxHipExtensionDominantHitch,12.256,20.936,8.68,maxShoulderExtensionNonDominantPreHitch,2.767,11.684,8.917,timeToMaxShoulderExtensionDominantHitch,0.217,0.27,0.053,,,,
Player 158,21059,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.608,0.552,-0.057,MaxStanceGapRelease,0.539,0.49,-0.049,,,,,,,,
Player 158,21077,Catch and Shoot,Right,1,MaxStanceGapPostHitch,0.606,0.553,-0.053,,,,,,,,,,,,
Player 158,21078,Catch and Shoot,Right,0,MaxStanceGapPostHitch,0.615,0.581,-0.034,MaxStanceGapHitch,0.599,0.578,-0.021,maxAnklePlantarflexionAvgPreHitch,21.598,15.649,-5.949,,,,
Player 158,21079,Catch and Shoot,Right,0,MaxStanceGapRelease,0.543,0.52,-0.023,,,,,,,,,,,,
Player 158,21110,Catch and Shoot,Right,0,maxHipExtensionNonDominantPostHitch,17.938,3.139,-14.799,maxAnklePlantarflexionDominantPostHitch,-26.15,-31.143,-4.993,Max.Ball.Released..Away.from.body.,0.599,0.518,-0.081,,,,
Player 158,21117,Catch and Shoot,Right,0,maxAnkleDorsiflexionNonDominantHitch,16.816,17.106,0.29,,,,,,,,,,,,
Player 158,21156,Catch and Shoot,Right,0,maxKneeFlexionAvgPreHitch,-69.621,-65.707,3.914,,,,,,,,,,,,
Player 158,21170,Off the Dribble,Right,0,maxShoulderFlexionDominantPostHitch,154.833,146.37,-8.463,maxKneeFlexionAvgPostHitch,-50.26,-48.035,2.225,maxHipExtensionNonDominantPostHitch,5.617,9.639,4.022,maxAnklePlantarflexionDominantPreHitch,24.096,16.253,-7.842
Player 158,21176,Off the Dribble,Right,0,MaxStanceGapHitch,0.59,0.531,-0.058,,,,,,,,,,,,
