PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 45,3935,Off the Dribble,Right,4,BallVeloRelease,5.431,5.543,0.112,KneeTotalROMAvg,34.165,36.129,1.964,BallVeloRelease__zwithin,-1.286,-1.036,0.25,maxElbowExtensionAvgPostHitch,12.695,14.203,1.508,BallVeloStart__zwithin,-1.079,-0.579,0.5
Player 45,3942,Catch and Shoot,Right,4,HipAlignmentRelease__zwithin,0.999,0.976,-0.023,HipAlignmentPostHitch__zwithin,1.081,1.014,-0.067,HipAlignmentPreHitch__zwithin,1.158,1.033,-0.125,ShoulderAlignmentPostHitch__zwithin,1.027,0.867,-0.16,KneeTotalROMAvg,36.297,37.872,1.575
Player 45,3943,Off the Dribble,Right,4,HipAlignmentPreHitch__zwithin,1.061,0.848,-0.212,HipAlignmentRelease__zwithin,1.059,0.847,-0.212,HipAlignmentPostHitch__zwithin,1.069,0.855,-0.214,ShoulderAlignmentPostHitch__zwithin,1.057,0.845,-0.211,FeetAlignmentRelease,-133.57,-106.856,26.714
Player 45,3944,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.089,1.033,-0.055,HipAlignmentPostHitch__zwithin,1.141,1.014,-0.126,HipAlignmentRelease__zwithin,1.018,0.976,-0.042,ShoulderAlignmentPostHitch__zwithin,1.051,0.867,-0.184,maxAnklePlantarflexionDomDiffPostHitch,-7.631,-6.615,1.016
Player 45,3945,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.075,1.033,-0.042,HipAlignmentRelease__zwithin,1.026,0.976,-0.05,HipAlignmentPostHitch__zwithin,1.029,1.014,-0.014,ShoulderAlignmentPostHitch__zwithin,1.016,0.867,-0.15,KneeTotalROMAvg,38.056,37.872,-0.184
Player 45,3946,Catch and Shoot,Right,4,HipAlignmentRelease__zwithin,0.978,0.976,-0.002,HipAlignmentPreHitch__zwithin,1.103,1.033,-0.07,HipAlignmentPostHitch__zwithin,1.014,1.014,0.001,ShoulderAlignmentPostHitch__zwithin,1.088,0.871,-0.218,KneeTotalROMAvg,35.065,37.872,2.807
Player 45,3947,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.117,1.033,-0.084,HipAlignmentRelease__zwithin,0.99,0.976,-0.014,HipAlignmentPostHitch__zwithin,1.015,1.014,-0.001,FeetAlignmentRelease,-146.865,-125.357,21.508,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.49,-0.49,0.0
Player 45,3948,Catch and Shoot,Right,4,HipAlignmentRelease__zwithin,1.025,0.976,-0.049,HipAlignmentPreHitch__zwithin,1.127,1.033,-0.094,HipAlignmentPostHitch__zwithin,1.032,1.014,-0.018,ShoulderAlignmentPostHitch__zwithin,1.022,0.867,-0.155,FeetAlignmentRelease,-142.072,-125.357,16.715
Player 45,3949,Off the Dribble,Right,4,HipAlignmentPreHitch__zwithin,1.115,0.892,-0.223,HipAlignmentRelease__zwithin,1.1,0.88,-0.22,HipAlignmentPostHitch__zwithin,1.098,0.878,-0.22,ShoulderAlignmentPostHitch__zwithin,0.932,0.745,-0.186,maxAnklePlantarflexionDomDiffPostHitch,-11.823,-9.458,2.365
Player 45,3950,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.133,1.033,-0.1,HipAlignmentRelease__zwithin,1.069,0.976,-0.092,HipAlignmentPostHitch__zwithin,1.097,1.014,-0.083,ShoulderAlignmentPostHitch__zwithin,0.901,0.867,-0.034,KneeTotalROMAvg,40.672,37.872,-2.8
Player 45,3951,Catch and Shoot,Right,4,HipAlignmentPreHitch__zwithin,1.089,1.033,-0.056,HipAlignmentPostHitch__zwithin,1.052,1.014,-0.038,HipAlignmentRelease__zwithin,1.043,0.976,-0.067,ShoulderAlignmentPostHitch__zwithin,0.9,0.867,-0.033,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.49,-0.49,0.0
