PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 134,18795,Catch and Shoot,Right,0,ShoulderAlignmentPreHitch,-178.913,-170.182,8.732,,,,,,,,
Player 134,18808,Off the Dribble,Right,0,TorsoVeloRelease,1.48,1.011,-0.469,BallVeloRelease,6.612,5.371,-1.24,BallVeloStart,-0.622,-0.6,0.022
Player 134,18811,Off the Dribble,Right,0,TorsoVeloRelease,1.475,1.025,-0.45,maxKneeFlexionDominantPostHitch,-46.782,-55.593,-8.81,,,,
Player 134,18814,Off the Dribble,Right,0,timeToMaxElbowExtensionDominantPostHitch,0.975,0.833,-0.142,TorsoVeloRelease,1.227,0.855,-0.372,,,,
Player 134,18822,Off the Dribble,Right,0,BallVeloRelease,6.61,5.537,-1.073,timeToMaxElbowExtensionNonDominantPreHitch,0.609,0.487,-0.122,TorsoVeloRelease,1.441,1.042,-0.399
Player 134,18833,Catch and Shoot,Right,0,BallVeloRelease,5.395,5.932,0.537,timeToMaxHipFlexionNonDominantPreHitch,0.509,0.7,0.191,,,,
Player 134,18837,Off the Dribble,Right,0,BallVeloRelease,6.568,6.278,-0.291,,,,,,,,
Player 134,18843,Catch and Shoot,Right,0,maxShoulderFlexionDominantHitch,35.64,43.655,8.016,TorsoVeloRelease,1.702,1.447,-0.254,TorsoVeloPostHitch,0.716,1.011,0.295
