PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 111,15221,Off the Dribble,Right,0,BallVeloRelease,6.818,5.988,-0.83,Max.Ball.Released..Away.from.body.,0.669,0.584,-0.085,,,,
Player 111,15227,Off the Dribble,Right,0,maxTorsoFlexionPostHitch,2.16,-0.735,-2.896,maxHipExtensionNonDominantPostHitch,13.297,5.875,-7.422,Max.Ball.Released..Away.from.body.,0.643,0.536,-0.107
Player 111,15231,Off the Dribble,Right,0,FeetAlignmentRelease,43.549,38.901,-4.647,,,,,,,,
Player 111,15240,Off the Dribble,Right,0,TorsoVeloRelease,1.488,1.168,-0.32,Max.Ball.Released..Away.from.body.,0.595,0.481,-0.114,,,,
Player 111,15243,Off the Dribble,Right,0,TorsoVeloRelease,1.617,1.382,-0.235,,,,,,,,
Player 111,15245,Off the Dribble,Right,0,TorsoVeloRelease,1.621,1.149,-0.471,maxTorsoFlexionPostHitch,4.153,-3.227,-7.38,Max.Ball.Released..Away.from.body.,0.667,0.432,-0.236
Player 111,15251,Catch and Shoot,Right,0,TorsoVeloRelease,1.849,1.456,-0.393,TorsoVeloPostHitch,2.556,2.201,-0.355,,,,
Player 111,15254,Catch and Shoot,Right,0,TorsoVeloRelease,1.597,1.166,-0.431,BallVeloStart,0.039,-0.3,-0.339,,,,
Player 111,15269,Catch and Shoot,Right,0,TorsoVeloPostHitch,2.668,2.373,-0.295,,,,,,,,
Player 111,15270,Catch and Shoot,Right,0,TorsoVeloRelease,1.731,1.387,-0.343,Max.Ball.Released..Away.from.body.,0.698,0.497,-0.2,,,,
Player 111,15271,Catch and Shoot,Right,0,maxElbowFlexionDominantHitch,97.508,112.338,14.83,maxShoulderExtensionAvgHitch,53.89,59.816,5.925,maxHipExtensionNonDominantPostHitch,4.204,13.458,9.254
Player 111,15272,Catch and Shoot,Right,1,TorsoVeloRelease,1.83,1.383,-0.448,,,,,,,,
Player 111,15273,Catch and Shoot,Right,1,TorsoVeloRelease,2.02,1.537,-0.483,Max.Ball.Released..Away.from.body.,0.691,0.438,-0.253,,,,
Player 111,15275,Catch and Shoot,Right,0,TorsoVeloRelease,1.609,1.399,-0.209,TorsoVeloPostHitch,2.517,2.297,-0.22,,,,
Player 111,15277,Catch and Shoot,Right,0,ElbowTotalROMDominant,-91.447,-97.245,-5.798,Max.Ball.Released..Away.from.body.,0.665,0.586,-0.079,maxAnklePlantarflexionAvgPreHitch,22.858,17.264,-5.593
Player 111,15278,Catch and Shoot,Right,0,TorsoVeloRelease,1.697,1.45,-0.247,Max.Ball.Released..Away.from.body.,0.7,0.538,-0.162,,,,
Player 111,15280,Catch and Shoot,Right,0,TorsoVeloRelease,1.659,1.396,-0.264,,,,,,,,
Player 111,15282,Catch and Shoot,Right,0,TorsoVeloRelease,1.558,1.431,-0.127,Max.Ball.Released..Away.from.body.,0.666,0.56,-0.107,,,,
Player 111,15284,Catch and Shoot,Right,0,TorsoVeloPostHitch,2.342,2.047,-0.295,,,,,,,,
Player 111,15289,Catch and Shoot,Right,0,TorsoVeloRelease,1.483,1.18,-0.303,,,,,,,,
Player 111,15293,Catch and Shoot,Right,0,TorsoVeloRelease,1.666,1.318,-0.348,TorsoVeloPostHitch,2.707,2.29,-0.417,ShoulderAlignmentPreHitch,177.559,166.918,-10.641
