PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 23,1966,Off the Dribble,Right,0,maxShoulderExtensionDominantPreHitch,-6.567,6.394,12.961,maxHipExtensionAvgPostHitch,0.479,8.267,7.788,timeToMaxAnkleDorsiflexionDominantPreHitch,0.075,0.33,0.255
Player 23,1970,Off the Dribble,Right,0,maxShoulderExtensionDominantPreHitch,-18.234,-9.923,8.312,Max.Ball.Released..Away.from.body.,0.811,0.83,0.018,,,,
Player 23,1999,Off the Dribble,Right,0,MaxStanceGapPostHitch,0.632,0.57,-0.062,maxTorsoFlexionPostHitch,2.525,-0.258,-2.782,,,,
Player 23,2009,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.408,0.746,0.338,maxKneeExtensionDominantPostHitch,-16.865,-14.726,2.139,,,,
Player 23,2027,Off the Dribble,Right,0,maxKneeFlexionAvgPreHitch,-78.112,-69.296,8.816,timeToMaxKneeFlexionNonDominantPreHitch,0.0,0.284,0.284,,,,
Player 23,2029,Off the Dribble,Right,0,Max.Ball.Released..Away.from.body.,0.711,0.526,-0.184,,,,,,,,
Player 23,2068,Off the Dribble,Right,0,TorsoVeloPreHitch,-1.023,-0.56,0.463,,,,,,,,
Player 23,2069,Off the Dribble,Right,0,timeToMaxAnkleDorsiflexionDominantHitch,0.125,0.5,0.375,maxKneeFlexionAvgHitch,-81.382,-71.608,9.774,,,,
Player 23,2070,Off the Dribble,Right,0,Max.Ball.Released..Away.from.body.,0.614,0.528,-0.086,maxAnklePlantarflexionAvgPreHitch,24.869,14.184,-10.685,,,,
Player 23,2078,Catch and Shoot,Right,0,maxAnkleDorsiflexionDominantHitch,31.634,26.979,-4.655,maxKneeFlexionAvgPreHitch,-79.721,-68.934,10.787,,,,
Player 23,2080,Catch and Shoot,Right,0,timeToMaxTorsoFlexionPostHitch,0.292,0.712,0.42,maxKneeFlexionNonDominantHitch,-86.382,-75.005,11.376,,,,
Player 23,2127,Off the Dribble,Right,0,ElbowFlexionAtT0Dominant,91.675,99.582,7.907,maxAnkleDorsiflexionAvgHitch,30.792,28.899,-1.893,,,,
Player 23,2174,Catch and Shoot,Right,0,HipAlignmentPostHitch,-176.317,-164.947,11.37,HipAlignmentRelease,-172.338,-161.74,10.597,,,,
Player 23,2177,Catch and Shoot,Right,0,TorsoVeloPreHitch,-0.93,-0.65,0.28,maxKneeFlexionAvgHitch,-84.028,-74.066,9.962,,,,
Player 23,2178,Off the Dribble,Right,0,HipAlignmentRelease,173.321,165.818,-7.503,maxTorsoFlexionPostHitch,1.652,-0.316,-1.967,,,,
Player 23,2199,Off the Dribble,Right,0,TorsoVeloPreHitch,-1.444,-1.063,0.381,maxAnkleDorsiflexionDominantPostHitch,-14.682,-8.898,5.784,maxElbowFlexionDominantPostHitch,109.207,113.123,3.915
Player 23,2246,Off the Dribble,Right,0,TorsoVeloPreHitch,-0.992,-1.007,-0.015,ElbowFlexionAtT0NonDominant,84.482,72.932,-11.55,,,,
Player 23,2250,Off the Dribble,Right,0,maxAnkleDorsiflexionNonDominantPreHitch,29.771,19.91,-9.861,maxAnklePlantarflexionAvgPreHitch,27.539,18.066,-9.472,,,,
Player 23,2260,Catch and Shoot,Right,0,TorsoVeloPreHitch,-0.96,-0.775,0.185,,,,,,,,
Player 23,2263,Catch and Shoot,Right,0,timeToMaxAnkleDorsiflexionDominantPreHitch,0.075,0.194,0.119,,,,,,,,
Player 23,2267,Off the Dribble,Right,0,timeToMaxAnkleDorsiflexionDominantHitch,0.134,0.5,0.366,maxKneeFlexionAvgPreHitch,-77.212,-68.222,8.99,,,,
Player 23,2268,Off the Dribble,Right,0,TorsoVeloPreHitch,-0.981,-0.668,0.312,maxAnklePlantarflexionDominantPreHitch,23.806,29.88,6.074,,,,
Player 23,2269,Off the Dribble,Right,0,maxKneeFlexionAvgPreHitch,-82.537,-67.78,14.757,maxKneeFlexionNonDominantHitch,-83.922,-69.224,14.698,maxHipExtensionNonDominantPostHitch,4.081,9.248,5.168
Player 23,2271,Off the Dribble,Right,0,TorsoVeloPreHitch,-0.911,-0.523,0.388,maxAnklePlantarflexionDominantPreHitch,24.149,34.343,10.194,,,,
Player 23,2275,Off the Dribble,Right,0,ElbowFlexionAtT0Dominant,85.95,83.389,-2.561,maxAnklePlantarflexionDominantPreHitch,29.977,27.416,-2.561,,,,
