PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4
Player 163,22630,Off the Dribble,Right,1,Max.Ball.Released..Away.from.body.,1.446,0.567,-0.879,,,,,,,,,,,,
Player 163,22631,Off the Dribble,Right,1,timeToMaxAnkleDorsiflexionDominantPreHitch,0.083,0.167,0.084,,,,,,,,,,,,
Player 163,22656,Off the Dribble,Right,0,TorsoTotalROMAvg,21.655,12.736,-8.919,Max.Ball.Released..Away.from.body.,0.612,0.588,-0.024,,,,,,,,
Player 163,22666,Catch and Shoot,Right,1,MaxStanceGapPreHitch,0.69,0.7,0.01,maxAnklePlantarflexionDominantPreHitch,24.261,18.298,-5.963,,,,,,,,
Player 163,22670,Catch and Shoot,Right,1,maxAnklePlantarflexionAvgHitch,-29.846,-26.126,3.72,,,,,,,,,,,,
Player 163,22674,Off the Dribble,Right,1,maxTorsoExtensionHitch,0.129,3.229,3.1,BallVeloStart,-0.222,0.3,0.522,,,,,,,,
Player 163,22687,Catch and Shoot,Right,0,maxElbowFlexionDominantHitch,114.696,122.62,7.924,maxElbowExtensionDominantHitch,114.696,121.009,6.314,,,,,,,,
Player 163,22695,Catch and Shoot,Right,1,HipAlignmentPreHitch,177.682,170.351,-7.332,maxAnklePlantarflexionAvgPreHitch,25.184,17.069,-8.115,maxKneeExtensionNonDominantHitch,-64.213,-58.584,5.63,,,,
Player 163,22734,Off the Dribble,Right,1,maxAnklePlantarflexionAvgPreHitch,24.814,16.936,-7.878,Max.Ball.Released..Away.from.body.,0.596,0.572,-0.024,,,,,,,,
Player 163,22749,Off the Dribble,Right,0,maxTorsoFlexionPostHitch,2.093,0.568,-1.525,maxKneeFlexionAvgPreHitch,-72.304,-64.693,7.611,,,,,,,,
Player 163,22751,Off the Dribble,Right,1,TorsoVeloPostHitch,2.561,2.579,0.018,Max.Ball.Released..Away.from.body.,1.642,0.589,-1.053,,,,,,,,
Player 163,22764,Catch and Shoot,Right,0,ElbowTotalROMDominant,-93.447,-98.955,-5.508,maxElbowExtensionNonDominantPostHitch,39.561,38.853,-0.708,,,,,,,,
Player 163,22777,Off the Dribble,Right,1,maxElbowExtensionDominantHitch,118.96,121.031,2.071,TorsoVeloHitch,-0.601,-0.106,0.495,,,,,,,,
Player 163,22860,Off the Dribble,Right,0,ankleTotalROMAvg,-55.781,-40.661,15.12,BallVeloStart,0.026,0.4,0.374,,,,,,,,
Player 163,22904,Catch and Shoot,Right,0,BallVeloRelease,6.873,5.852,-1.022,Max.Ball.Released..Away.from.body.,0.62,0.555,-0.064,timeToMaxAnklePlantarflexionDominantPostHitch,0.508,0.608,0.1,,,,
Player 163,22905,Catch and Shoot,Right,0,BallVeloRelease,6.979,5.795,-1.183,maxTorsoFlexionPostHitch,1.304,-1.512,-2.816,,,,,,,,
Player 163,22907,Catch and Shoot,Right,0,TorsoVeloRelease,1.514,1.109,-0.404,maxElbowFlexionNonDominantPostHitch,104.704,105.605,0.901,,,,,,,,
Player 163,22908,Catch and Shoot,Right,1,BallVeloRelease,7.059,6.108,-0.952,,,,,,,,,,,,
