PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 16,1359,Off the Dribble,Right,4,BallVeloRelease,5.655,5.96,0.305,BallVeloRelease__zwithin,-0.786,-0.286,0.5,MaxStanceGapPreHitch,0.32,0.31,-0.009,MaxStanceGapHitch,0.335,0.311,-0.024,timeToMaxShoulderExtensionNonDominantPreHitch,0.5,0.459,-0.041
Player 16,1360,Off the Dribble,Right,4,BallVeloRelease,5.887,5.96,0.073,MaxStanceGapHitch,0.287,0.311,0.024,MaxStanceGapPreHitch,0.29,0.31,0.02,BallVeloRelease__zwithin,-0.177,0.015,0.192,MaxStanceGapPostHitch,0.277,0.297,0.02
Player 16,1361,Off the Dribble,Right,4,KneeTotalROMAvg,43.966,48.586,4.62,BallVeloRelease,5.96,5.96,0.001,ankleTotalROMAvg,-38.85,-43.867,-5.016,MaxStanceGapHitch,0.293,0.311,0.018,MaxStanceGapPreHitch,0.283,0.31,0.027
Player 16,1362,Off the Dribble,Right,4,BallVeloRelease,5.728,5.96,0.233,MaxStanceGapHitch,0.295,0.311,0.016,MaxStanceGapPreHitch,0.299,0.31,0.012,BallVeloRelease__zwithin,-0.595,-0.095,0.5,MaxStanceGapPostHitch,0.285,0.297,0.012
Player 16,1363,Off the Dribble,Right,4,BallVeloRelease,5.693,5.96,0.267,BallVeloRelease__zwithin,-0.685,-0.185,0.5,MaxStanceGapPreHitch,0.316,0.31,-0.005,timeToMaxShoulderExtensionNonDominantPreHitch,0.483,0.459,-0.024,maxShoulderFlexionDomDiffPostHitch__zwithin,0.585,0.51,-0.074
Player 16,1364,Off the Dribble,Right,4,MaxStanceGapHitch,0.287,0.311,0.023,BallVeloRelease,5.96,5.96,0.0,MaxStanceGapPreHitch,0.291,0.31,0.019,BallVeloRelease__zwithin,0.015,0.015,0.0,MaxStanceGapPostHitch,0.269,0.297,0.028
Player 16,1366,Off the Dribble,Right,4,BallVeloRelease,5.934,5.96,0.026,MaxStanceGapHitch,0.297,0.311,0.014,KneeTotalROMAvg,45.52,48.586,3.066,MaxStanceGapPreHitch,0.295,0.31,0.015,BallVeloRelease__zwithin,-0.053,0.015,0.068
Player 16,1373,Off the Dribble,Right,4,BallVeloRelease,5.574,5.96,0.386,MaxStanceGapHitch,0.283,0.311,0.028,BallVeloRelease__zwithin,-0.999,-0.499,0.5,KneeTotalROMAvg,44.481,48.586,4.104,MaxStanceGapPreHitch,0.297,0.31,0.013
Player 16,1375,Off the Dribble,Right,4,BallVeloRelease,5.78,5.96,0.18,MaxStanceGapHitch,0.297,0.311,0.013,MaxStanceGapPreHitch,0.299,0.31,0.011,maxElbowExtensionDominantPostHitch,7.808,10.286,2.478,BallVeloRelease__zwithin,-0.456,0.015,0.472
Player 16,1377,Off the Dribble,Right,4,BallVeloRelease,5.685,5.96,0.275,MaxStanceGapHitch,0.302,0.311,0.009,maxElbowExtensionDominantPostHitch,7.738,10.286,2.548,BallVeloRelease__zwithin,-0.707,-0.207,0.5,MaxStanceGapPreHitch,0.322,0.31,-0.011
