PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 26,2476,Off the Dribble,Right,0,BallVeloPreHitch,5.35,4.654,-0.696,maxAnklePlantarflexionDominantPostHitch,-23.923,-25.6,-1.677,,,,
Player 26,2480,Off the Dribble,Right,0,maxTorsoFlexionPostHitch,2.005,0.664,-1.341,maxKneeFlexionAvgPreHitch,-75.222,-76.41,-1.188,,,,
Player 26,2505,Off the Dribble,Right,0,maxHipFlexionNonDominantPostHitch,18.46,24.32,5.86,,,,,,,,
Player 26,2507,Off the Dribble,Right,0,maxKneeExtensionDominantPostHitch,-23.869,-15.789,8.079,maxKneeFlexionDominantPostHitch,-56.686,-46.127,10.559,,,,
Player 26,2511,Off the Dribble,Right,0,maxKneeFlexionAvgPreHitch,-76.48,-73.29,3.19,timeToMaxHipFlexionNonDominantPreHitch,0.008,0.2,0.192,,,,
Player 26,2515,Off the Dribble,Right,0,maxTorsoFlexionHitch,-1.259,-4.11,-2.852,,,,,,,,
Player 26,2521,Off the Dribble,Right,0,timeToMaxShoulderFlexionNonDominantPostHitch,0.4,0.445,0.045,timeToMaxAnkleDorsiflexionDominantHitch,0.125,0.2,0.075,,,,
Player 26,2524,Off the Dribble,Right,0,maxKneeFlexionAvgPreHitch,-75.496,-71.274,4.222,TorsoTotalROMAvg,10.024,13.918,3.895,TorsoVeloHitch,0.296,0.345,0.049
Player 26,2539,Off the Dribble,Right,0,maxAnklePlantarflexionDominantPostHitch,-24.46,-25.899,-1.439,maxKneeExtensionDominantPostHitch,-23.453,-22.878,0.576,,,,
Player 26,2540,Off the Dribble,Right,0,ElbowFlexionAtT0Dominant,106.755,92.926,-13.829,ankleFlexionAtT0Avg,27.283,20.738,-6.544,maxAnkleDorsiflexionNonDominantPreHitch,30.197,26.028,-4.169
Player 26,2558,Off the Dribble,Right,0,TorsoTotalROMAvg,9.934,13.26,3.326,HipFlexionAtT0Avg,39.124,46.347,7.223,,,,
Player 26,2593,Catch and Shoot,Right,0,maxTorsoFlexionPostHitch,2.647,0.31,-2.337,HipAlignmentPostHitch,-164.604,-171.547,-6.943,,,,
