PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 143,19328,Off the Dribble,Left,4,timeToMaxShoulderFlexionDomDiffHitch__zwithin,-1.194,-0.251,0.943,maxShoulderFlexionAvgPostHitch,123.446,123.452,0.006,BallVeloStart__zwithin,-1.078,-0.578,0.5,maxElbowFlexionDominantHitch,116.351,120.637,4.286,BallVeloRelease,5.767,5.88,0.114
Player 143,19341,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.893,0.715,-0.179,HipAlignmentPostHitch__zwithin,0.984,0.787,-0.197,ShoulderAlignmentPostHitch__zwithin,0.979,0.783,-0.196,BallVeloRelease,5.77,6.237,0.467,maxShoulderFlexionAvgPostHitch,106.171,112.442,6.271
Player 143,19342,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.909,0.727,-0.182,HipAlignmentPostHitch__zwithin,1.014,0.812,-0.203,ShoulderAlignmentPostHitch__zwithin,0.942,0.753,-0.188,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.965,0.085,1.05,maxShoulderFlexionAvgPostHitch,109.167,112.442,3.275
Player 143,19343,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.887,0.71,-0.177,HipAlignmentPostHitch__zwithin,1.026,0.821,-0.205,BallVeloRelease,5.855,6.237,0.382,ShoulderAlignmentPostHitch__zwithin,0.955,0.764,-0.191,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.866,0.085,0.951
Player 143,19344,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.916,0.733,-0.183,HipAlignmentPostHitch__zwithin,0.991,0.793,-0.198,ShoulderAlignmentPostHitch__zwithin,0.957,0.766,-0.191,timeToMaxShoulderFlexionDomDiffHitch__zwithin,-0.933,-0.137,0.796,maxAnklePlantarflexionDomDiffPostHitch,-12.866,-10.293,2.573
Player 143,19345,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.937,0.749,-0.187,HipAlignmentPostHitch__zwithin,1.007,0.806,-0.201,ShoulderAlignmentPostHitch__zwithin,1.013,0.81,-0.203,maxAnklePlantarflexionDomDiffPostHitch,-15.561,-12.449,3.112,maxShoulderFlexionAvgPostHitch,111.381,112.442,1.061
Player 143,19346,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.959,0.767,-0.192,HipAlignmentPostHitch__zwithin,1.004,0.803,-0.201,maxTorsoFlexionPreHitch__zwithin,-2.123,-0.156,1.967,maxAnklePlantarflexionNonDominantPostHitch,-9.867,-11.84,-1.973,maxAnklePlantarflexionDomDiffPostHitch,-20.035,-16.028,4.007
Player 143,19347,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.955,0.764,-0.191,HipAlignmentPostHitch__zwithin,1.012,0.809,-0.202,BallVeloRelease,5.834,6.237,0.403,ShoulderAlignmentPostHitch__zwithin,0.92,0.736,-0.184,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.98,0.085,1.065
Player 143,19348,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.941,0.753,-0.188,HipAlignmentPostHitch__zwithin,0.993,0.795,-0.199,timeToMaxShoulderFlexionDomDiffHitch__zwithin,-2.027,-0.137,1.89,ShoulderAlignmentPostHitch__zwithin,0.981,0.785,-0.196,ShoulderAlignmentRelease__zwithin,0.896,0.717,-0.179
Player 143,19349,Catch and Shoot,Left,4,HipAlignmentRelease__zwithin,0.93,0.744,-0.186,HipAlignmentPostHitch__zwithin,1.014,0.811,-0.203,maxTorsoFlexionPreHitch__zwithin,-1.048,-0.156,0.893,maxAnklePlantarflexionDomDiffPostHitch,-9.454,-7.563,1.891,BallVeloRelease,5.915,6.237,0.322
