PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 98,11731,Off the Dribble,Left,3,BallVeloRelease,4.239,5.086,0.848,ankleTotalROMAvg,-7.755,-9.305,-1.551,TorsoVeloPostHitch,0.148,0.648,0.5,BallVeloPostHitch__zwithin,-3.077,-2.462,0.615,BallVeloRelease__zwithin,-2.962,-2.37,0.592
Player 98,11732,Catch and Shoot,Left,3,BallVeloRelease,4.317,5.181,0.863,ankleTotalROMAvg,-11.154,-13.385,-2.231,TorsoVeloPostHitch,0.335,0.835,0.5,BallVeloRelease__zwithin,-2.836,-2.269,0.567,maxTorsoExtensionPreHitch,3.061,-4.185,-7.245
Player 98,11733,Off the Dribble,Left,3,BallVeloRelease,4.836,5.803,0.967,BallVeloRelease__zwithin,-2.01,-1.51,0.5,HipAlignmentPostHitch__zwithin,1.33,1.064,-0.266,HipAlignmentRelease__zwithin,1.188,0.95,-0.238,KneeTotalROMAvg,26.636,31.963,5.327
Player 98,11734,Catch and Shoot,Left,4,BallVeloRelease,5.115,6.138,1.023,BallVeloRelease__zwithin,-1.566,-1.066,0.5,maxTorsoFlexionPreHitch__zwithin,-1.685,-0.106,1.58,TorsoVeloRelease__zwithin,-2.501,-2.001,0.5,ElbowFlexionAtT0NonDominant,48.981,60.981,12.0
Player 98,11735,Catch and Shoot,Left,4,maxShoulderExtensionDominantHitch,5.274,17.274,12.0,Max.Ball.Released..Away.from.body.,0.851,0.681,-0.17,timeToMaxAnkleDorsiflexionDomDiffHitch,0.525,0.42,-0.105,Max.Ball.Released..Away.from.body.__zwithin,1.788,1.43,-0.358,ElbowFlexionAtT0NonDominant,9.795,21.795,12.0
Player 98,11736,Catch and Shoot,Left,3,BallVeloRelease,4.526,5.431,0.905,Max.Ball.Released..Away.from.body.,0.941,0.753,-0.188,maxShoulderExtensionDominantHitch,4.265,16.265,12.0,maxAnklePlantarflexionDomDiffHitch,27.46,21.968,-5.492,BallVeloRelease__zwithin,-2.504,-2.003,0.501
Player 98,11737,Catch and Shoot,Left,4,BallVeloRelease,5.162,6.195,1.032,ElbowFlexionAtT0Dominant,16.072,28.072,12.0,maxShoulderExtensionDominantHitch,0.227,12.227,12.0,Max.Ball.Released..Away.from.body.,0.98,0.784,-0.196,BallVeloRelease__zwithin,-1.49,-0.99,0.5
Player 98,11738,Off the Dribble,Left,4,BallVeloRelease,4.666,5.599,0.933,FeetAlignmentRelease,-160.324,-128.259,32.065,BallVeloRelease__zwithin,-2.281,-1.781,0.5,timeToMaxShoulderExtensionDomDiffPreHitch,-0.117,0.0,0.117,TorsoVeloRelease__zwithin,-1.852,-1.352,0.5
Player 98,11739,Catch and Shoot,Left,4,BallVeloRelease,5.012,6.014,1.002,maxShoulderExtensionDominantHitch,-5.901,6.099,12.0,Max.Ball.Released..Away.from.body.,0.963,0.77,-0.193,maxAnklePlantarflexionDomDiffHitch,30.803,24.642,-6.161,FeetAlignmentRelease,-106.616,-85.293,21.323
Player 98,11740,Catch and Shoot,Left,4,BallVeloRelease,4.999,5.998,1.0,ElbowFlexionAtT0Dominant,11.566,23.566,12.0,maxShoulderFlexionNonDominantPreHitch,14.806,26.806,12.0,maxShoulderExtensionDominantHitch,-7.193,4.807,12.0,Max.Ball.Released..Away.from.body.,0.916,0.733,-0.183
Player 98,11741,Off the Dribble,Left,4,BallVeloRelease,5.073,6.057,0.984,ElbowFlexionAtT0Dominant,19.797,31.798,12.0,Max.Ball.Released..Away.from.body.,0.912,0.729,-0.182,maxShoulderExtensionDominantHitch,7.161,19.161,12.0,BallVeloRelease__zwithin,-1.633,-1.133,0.5
Player 98,11762,Off the Dribble,Left,4,HipAlignmentRelease__zwithin,1.286,1.029,-0.257,HipAlignmentPreHitch__zwithin,1.278,1.022,-0.256,HipAlignmentPostHitch__zwithin,1.357,1.085,-0.271,ShoulderAlignmentPostHitch__zwithin,1.216,0.973,-0.243,timeToMaxShoulderExtensionNonDominantPreHitch__zwithin,-0.956,-0.419,0.537
Player 98,11763,Off the Dribble,Left,4,HipAlignmentRelease__zwithin,1.305,1.044,-0.261,HipAlignmentPreHitch__zwithin,1.334,1.067,-0.267,HipAlignmentPostHitch__zwithin,1.37,1.096,-0.274,maxKneeExtensionAvgPostHitch,-24.039,-23.193,0.846,KneeTotalROMAvg,41.439,49.727,8.288
