PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 146,19871,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,1.126,1.124,-0.002,BallVeloRelease,5.908,6.093,0.185,ElbowFlexionAtT0Dominant,66.452,72.448,5.996,ElbowFlexionAtT0NonDominant,44.118,52.0,7.882,BallVeloRelease__zwithin,-1.119,-0.619,0.5
Player 146,19873,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,1.155,1.124,-0.031,BallVeloRelease,5.849,6.093,0.244,ElbowFlexionAtT0Dominant,65.796,72.448,6.652,maxElbowExtensionDominantPostHitch,2.944,8.384,5.441,BallVeloRelease__zwithin,-1.451,-0.951,0.5
Player 146,19874,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,1.137,1.124,-0.014,maxElbowExtensionDominantPostHitch,8.068,8.384,0.317,ElbowFlexionAtT0NonDominant,37.598,49.598,12.0,maxElbowExtensionNonDominantPostHitch,19.097,17.389,-1.708,ShoulderAlignmentPostHitch__zwithin,0.888,0.882,-0.006
Player 146,19876,Off the Dribble,Right,4,BallVeloRelease,5.865,6.093,0.227,HipAlignmentRelease__zwithin,1.161,1.124,-0.037,ElbowFlexionAtT0Dominant,68.075,72.448,4.373,maxElbowExtensionDominantPostHitch,2.6,8.384,5.785,BallVeloRelease__zwithin,-1.357,-0.857,0.5
Player 146,19878,Off the Dribble,Right,4,BallVeloRelease,5.767,6.093,0.326,ElbowFlexionAtT0Dominant,63.239,72.448,9.209,HipAlignmentRelease__zwithin,1.143,1.124,-0.019,maxElbowExtensionDominantPostHitch,6.605,8.384,1.78,BallVeloRelease__zwithin,-1.911,-1.411,0.5
Player 146,19879,Off the Dribble,Right,4,BallVeloRelease,5.899,6.093,0.194,HipAlignmentRelease__zwithin,1.129,1.124,-0.005,ElbowFlexionAtT0Dominant,65.202,72.448,7.246,maxElbowExtensionDominantPostHitch,6.811,8.384,1.573,ElbowFlexionAtT0NonDominant,35.012,47.012,12.0
Player 146,19880,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,1.16,1.124,-0.036,maxElbowExtensionDominantPostHitch,7.704,8.384,0.681,BallVeloRelease,5.961,6.093,0.131,maxElbowExtensionAvgPostHitch,9.989,13.517,3.528,BallVeloRelease__zwithin,-0.819,-0.319,0.5
Player 146,19882,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,1.14,1.124,-0.017,maxElbowExtensionDominantPostHitch,5.676,8.384,2.708,BallVeloRelease,5.932,6.093,0.161,BallVeloRelease__zwithin,-0.984,-0.484,0.5,ElbowFlexionAtT0NonDominant,35.257,47.257,12.0
Player 146,19883,Off the Dribble,Right,4,BallVeloRelease,5.866,6.093,0.227,HipAlignmentRelease__zwithin,1.158,1.124,-0.035,ElbowFlexionAtT0Dominant,66.844,72.448,5.604,maxElbowExtensionDominantPostHitch,1.864,8.384,6.521,BallVeloRelease__zwithin,-1.353,-0.853,0.5
Player 146,19884,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,1.135,1.124,-0.012,ElbowFlexionAtT0Dominant,64.841,72.448,7.607,maxElbowExtensionDominantPostHitch,4.249,8.384,4.135,ElbowFlexionAtT0NonDominant,0.308,12.308,12.0,maxAnklePlantarflexionDomDiffPostHitch,-10.156,-8.125,2.031
Player 146,19886,Off the Dribble,Right,4,BallVeloRelease,5.906,6.093,0.187,HipAlignmentRelease__zwithin,1.173,1.124,-0.049,maxElbowExtensionDominantPostHitch,4.832,8.384,3.552,ElbowFlexionAtT0NonDominant,35.654,47.654,12.0,ShoulderAlignmentPostHitch__zwithin,0.879,0.882,0.003
