PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 15,1297,Off the Dribble,Right,3,BallVeloRelease,5.515,5.964,0.449,maxElbowFlexionAvgPreHitch,75.016,83.939,8.923,FeetAlignmentRelease,-143.016,-114.413,28.603,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.744,-0.429,0.315,maxShoulderFlexionAvgPostHitch,122.561,122.324,-0.237
Player 15,1298,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,0.707,0.566,-0.141,BallVeloRelease,5.752,5.964,0.212,maxTorsoFlexionPreHitch__zwithin,-0.977,-0.096,0.881,FeetAlignmentRelease,-146.694,-117.356,29.339,maxAnkleDorsiflexionAvgPostHitch,-26.787,-26.578,0.21
Player 15,1299,Off the Dribble,Right,4,BallVeloRelease,5.551,5.964,0.413,maxKneeFlexionAvgPostHitch__zwithin,-2.721,0.18,2.902,HipAlignmentRelease__zwithin,0.693,0.554,-0.139,maxAnkleDorsiflexionNonDominantPostHitch,-29.948,-28.799,1.149,maxShoulderFlexionAvgPostHitch,122.767,122.324,-0.443
Player 15,1300,Off the Dribble,Right,4,BallVeloRelease,5.747,5.964,0.217,FeetAlignmentRelease,-138.365,-110.692,27.673,maxShoulderFlexionAvgPostHitch,117.78,122.324,4.544,maxTorsoFlexionPreHitch__zwithin,-1.153,-0.096,1.057,HipAlignmentRelease__zwithin,0.704,0.563,-0.141
Player 15,1303,Off the Dribble,Right,4,maxShoulderFlexionAvgPostHitch,118.933,122.324,3.391,FeetAlignmentRelease,-134.282,-107.426,26.856,maxAnklePlantarflexionNonDominantPostHitch,-31.861,-30.051,1.81,BallVeloRelease,5.749,5.964,0.215,maxTorsoFlexionPreHitch__zwithin,-1.052,-0.096,0.956
Player 15,1304,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,0.681,0.545,-0.136,BallVeloRelease,5.741,5.964,0.223,maxAnklePlantarflexionAvgPostHitch__zwithin,-1.543,-1.235,0.309,FeetAlignmentRelease,-140.838,-112.67,28.168,maxShoulderFlexionAvgPostHitch,120.643,122.324,1.681
Player 15,1307,Off the Dribble,Right,4,maxAnkleDorsiflexionNonDominantPostHitch,-28.524,-28.799,-0.275,maxTorsoFlexionPreHitch__zwithin,-1.347,-0.096,1.251,FeetAlignmentRelease,-137.039,-109.631,27.408,timeToMaxElbowExtensionDomDiffPostHitch,0.008,0.0,-0.008,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.761,-0.429,0.332
Player 15,1308,Off the Dribble,Right,3,maxAnklePlantarflexionNonDominantPostHitch,-31.877,-30.051,1.826,FeetAlignmentRelease,-150.017,-120.013,30.003,maxAnklePlantarflexionAvgPostHitch__zwithin,-1.409,-1.127,0.282,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.78,-0.429,0.352,maxShoulderFlexionAvgPostHitch,121.604,122.324,0.72
Player 15,1309,Off the Dribble,Right,4,BallVeloRelease,5.664,5.964,0.3,HipAlignmentRelease__zwithin,0.762,0.61,-0.152,maxAnkleDorsiflexionNonDominantPostHitch,-28.986,-28.799,0.187,timeToMaxShoulderExtensionDomDiffHitch__zwithin,-0.673,-0.429,0.244,maxShoulderFlexionAvgPostHitch,125.097,122.324,-2.773
Player 15,1310,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,0.784,0.627,-0.157,maxAnkleDorsiflexionNonDominantPostHitch,-27.88,-28.799,-0.919,FeetAlignmentRelease,-141.042,-112.834,28.208,maxShoulderFlexionAvgPostHitch,123.365,122.324,-1.041,ShoulderTotalROMDominant,92.624,98.843,6.219
Player 15,1311,Off the Dribble,Right,4,FeetAlignmentRelease,-143.604,-114.883,28.721,maxShoulderFlexionAvgPostHitch,120.828,122.324,1.496,maxTorsoFlexionPreHitch__zwithin,-1.277,-0.096,1.182,HipAlignmentRelease__zwithin,0.784,0.627,-0.157,TorsoVeloRelease__zwithin,-0.984,-0.484,0.5
Player 15,1315,Off the Dribble,Right,4,maxAnklePlantarflexionAvgPostHitch__zwithin,-1.448,-1.158,0.29,maxAnklePlantarflexionNonDominantPostHitch,-31.756,-30.051,1.705,FeetAlignmentRelease,-157.345,-125.876,31.469,timeToMaxHipExtensionNonDominantPostHitch,0.35,0.442,0.092,maxElbowExtensionDomDiffHitch,-6.885,5.115,12.0
Player 15,1317,Off the Dribble,Right,4,FeetAlignmentRelease,-138.442,-110.754,27.688,maxShoulderFlexionAvgPostHitch,120.581,122.324,1.743,maxTorsoFlexionPreHitch__zwithin,-1.289,-0.096,1.193,HipAlignmentRelease__zwithin,0.763,0.61,-0.153,maxElbowFlexionDominantHitch,112.581,122.694,10.113
Player 15,1320,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,0.877,0.701,-0.175,maxAnkleDorsiflexionNonDominantPostHitch,-28.867,-28.799,0.068,FeetAlignmentRelease,-152.386,-121.909,30.477,maxShoulderFlexionAvgPostHitch,114.683,122.324,7.641,ShoulderTotalROMDominant,80.716,96.86,16.143
Player 15,1321,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,0.744,0.595,-0.149,maxAnkleDorsiflexionNonDominantPostHitch,-30.374,-28.799,1.575,maxShoulderFlexionAvgPostHitch,120.854,122.324,1.47,ShoulderAlignmentPostHitch__zwithin,0.88,0.704,-0.176,maxAnklePlantarflexionNonDominantPostHitch,-32.023,-30.051,1.971
Player 15,1322,Off the Dribble,Right,4,HipAlignmentRelease__zwithin,0.754,0.603,-0.151,maxAnklePlantarflexionNonDominantPostHitch,-31.815,-30.051,1.764,FeetAlignmentRelease,-140.505,-112.404,28.101,maxShoulderFlexionAvgPostHitch,125.173,122.324,-2.849,maxAnkleDorsiflexionAvgPostHitch,-27.39,-26.578,0.812
Player 15,1323,Off the Dribble,Right,4,maxTorsoFlexionPostHitch,5.963,2.516,-3.447,maxShoulderFlexionAvgPostHitch,122.575,122.324,-0.251,maxShoulderFlexionNonDominantPostHitch,113.263,118.515,5.252,ShoulderTotalROMDominant,77.215,92.658,15.443,maxElbowFlexionDominantHitch,116.748,122.694,5.945
Player 15,1324,Off the Dribble,Right,4,BallVeloRelease,4.661,5.594,0.932,maxTorsoFlexionPreHitch__zwithin,-1.578,-0.096,1.482,maxShoulderFlexionAvgPostHitch,117.933,122.324,4.39,ShoulderAlignmentRelease__zwithin,-1.513,-1.211,0.303,maxShoulderFlexionNonDominantPostHitch,115.312,118.515,3.203
Player 15,1325,Off the Dribble,Right,4,BallVeloRelease,4.852,5.823,0.97,BallVeloStart__zwithin,-0.933,-0.88,0.053,maxShoulderFlexionAvgPostHitch,110.216,122.216,12.0,ShoulderAlignmentRelease__zwithin,-1.59,-1.272,0.318,maxTorsoFlexionPostHitch,4.628,2.516,-2.111
