PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4,feat_5,orig_5,rec_5,delta_5
Player 118,16614,Catch and Shoot,Right,4,KneeTotalROMAvg,28.375,32.548,4.173,maxKneeFlexionDominantPreHitch,-36.909,-43.051,-6.142,ShoulderAlignmentRelease__zwithin,-1.513,-1.21,0.303,timeToMaxHipExtensionDomDiffPostHitch,-0.1,-0.009,0.091,timeToMaxShoulderFlexionNonDominantPostHitch,0.466,0.467,0.001
Player 118,16615,Catch and Shoot,Right,4,BallVeloRelease,5.128,6.154,1.026,KneeTotalROMAvg,28.935,32.548,3.613,maxKneeFlexionDominantPreHitch,-39.032,-43.051,-4.019,ShoulderAlignmentRelease__zwithin,-1.543,-1.234,0.309,BallVeloRelease__zwithin,-1.909,-1.409,0.5
Player 118,16616,Catch and Shoot,Right,4,BallVeloRelease,4.535,5.442,0.907,maxKneeFlexionDominantPreHitch,-37.446,-43.051,-5.604,KneeTotalROMAvg,27.176,32.548,5.372,BallVeloRelease__zwithin,-2.848,-2.279,0.57,ShoulderAlignmentRelease__zwithin,-1.489,-1.192,0.298
Player 118,16617,Catch and Shoot,Right,4,BallVeloRelease,5.393,6.299,0.906,KneeTotalROMAvg,28.635,32.548,3.913,maxKneeFlexionDominantPreHitch,-40.068,-43.051,-2.983,ShoulderAlignmentRelease__zwithin,-1.418,-1.134,0.284,BallVeloRelease__zwithin,-1.49,-0.99,0.5
Player 118,16618,Catch and Shoot,Right,4,ElbowFlexionAtT0Dominant,60.593,72.593,12.0,BallVeloRelease,5.388,6.299,0.911,KneeTotalROMAvg,29.782,32.548,2.766,ShoulderAlignmentRelease__zwithin,-1.454,-1.163,0.291,BallVeloRelease__zwithin,-1.499,-0.999,0.5
Player 118,16619,Catch and Shoot,Right,4,BallVeloRelease,5.648,6.299,0.651,KneeTotalROMAvg,27.224,32.548,5.324,maxKneeFlexionDominantPreHitch,-37.433,-43.051,-5.617,ElbowFlexionAtT0Dominant,67.15,76.993,9.843,ShoulderAlignmentRelease__zwithin,-1.49,-1.192,0.298
Player 118,16620,Catch and Shoot,Right,4,BallVeloRelease,5.434,6.299,0.865,KneeTotalROMAvg,29.028,32.548,3.52,maxKneeFlexionDominantPreHitch,-39.523,-43.051,-3.528,ShoulderAlignmentRelease__zwithin,-1.431,-1.145,0.286,BallVeloRelease__zwithin,-1.426,-0.926,0.5
Player 118,16621,Catch and Shoot,Right,4,BallVeloRelease,5.629,6.299,0.67,KneeTotalROMAvg,28.713,32.548,3.835,maxKneeFlexionDominantPreHitch,-36.827,-43.051,-6.224,ShoulderAlignmentRelease__zwithin,-1.466,-1.173,0.293,BallVeloStart__zwithin,-1.733,-1.233,0.5
Player 118,16623,Catch and Shoot,Right,4,KneeTotalROMAvg,26.945,32.334,5.389,maxKneeFlexionDominantPreHitch,-37.805,-43.051,-5.245,timeToMaxShoulderFlexionNonDominantPostHitch,0.475,0.467,-0.008,ShoulderAlignmentRelease__zwithin,-1.407,-1.126,0.281,BallVeloStart__zwithin,-1.324,-0.824,0.5
Player 118,16624,Catch and Shoot,Right,4,BallVeloRelease,5.459,6.299,0.84,ElbowFlexionAtT0Dominant,63.651,75.651,12.0,KneeTotalROMAvg,34.478,32.548,-1.93,maxKneeFlexionDominantPreHitch,-47.734,-43.051,4.683,ShoulderAlignmentRelease__zwithin,-1.462,-1.169,0.292
