PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 124,17484,Off the Dribble,Right,0,TorsoVeloRelease,1.537,1.421,-0.116,,,,,,,,
Player 124,17485,Off the Dribble,Right,0,TorsoVeloRelease,1.71,1.374,-0.337,,,,,,,,
Player 124,17487,Catch and Shoot,Right,0,TorsoVeloRelease,1.543,1.403,-0.14,Max.Ball.Released..Away.from.body.,0.61,0.495,-0.115,maxTorsoFlexionPostHitch,1.364,-0.914,-2.279
Player 124,17488,Off the Dribble,Right,0,TorsoVeloRelease,1.56,1.456,-0.103,Max.Ball.Released..Away.from.body.,0.592,0.507,-0.085,,,,
Player 124,17489,Off the Dribble,Right,0,TorsoVeloRelease,1.511,1.388,-0.123,maxAnklePlantarflexionDominantPostHitch,-26.835,-30.137,-3.302,,,,
Player 124,17493,Off the Dribble,Right,0,maxElbowExtensionDominantHitch,102.989,104.654,1.665,maxTorsoFlexionPostHitch,1.757,1.333,-0.425,,,,
Player 124,17505,Catch and Shoot,Right,0,TorsoVeloRelease,1.785,1.535,-0.25,,,,,,,,
Player 124,17509,Catch and Shoot,Right,0,TorsoVeloRelease,1.608,1.533,-0.075,maxTorsoFlexionHitch,-1.903,-6.37,-4.468,,,,
Player 124,17518,Off the Dribble,Right,0,TorsoVeloRelease,1.546,1.437,-0.109,maxKneeFlexionNonDominantHitch,-58.373,-68.143,-9.769,Max.Ball.Released..Away.from.body.,0.597,0.503,-0.094
Player 124,17522,Off the Dribble,Right,0,TorsoVeloRelease,1.543,1.42,-0.123,maxAnklePlantarflexionDominantPreHitch,26.168,15.163,-11.005,,,,
Player 124,17524,Off the Dribble,Right,0,TorsoVeloRelease,1.551,1.459,-0.092,Max.Ball.Released..Away.from.body.,0.639,0.507,-0.131,,,,
Player 124,17527,Catch and Shoot,Right,0,TorsoVeloPostHitch,0.69,0.802,0.112,,,,,,,,
Player 124,17531,Catch and Shoot,Right,0,TorsoVeloRelease,1.758,1.535,-0.223,,,,,,,,
Player 124,17537,Catch and Shoot,Right,0,TorsoVeloRelease,1.712,1.45,-0.262,timeToMaxTorsoFlexionPostHitch,0.267,0.293,0.026,,,,
Player 124,17547,Catch and Shoot,Right,0,TorsoVeloRelease,1.596,1.444,-0.152,maxHipExtensionNonDominantPostHitch,8.772,2.467,-6.305,,,,
Player 124,17548,Catch and Shoot,Right,0,TorsoVeloRelease,1.736,1.439,-0.297,TorsoVeloHitch,-0.521,-0.634,-0.112,maxAnklePlantarflexionDominantPreHitch,23.578,15.288,-8.29
Player 124,17549,Catch and Shoot,Right,0,TorsoVeloRelease,1.701,1.469,-0.232,,,,,,,,
Player 124,17553,Catch and Shoot,Right,0,TorsoVeloRelease,1.857,1.374,-0.483,,,,,,,,
Player 124,17556,Catch and Shoot,Right,0,TorsoVeloRelease,1.89,1.401,-0.489,,,,,,,,
Player 124,17558,Catch and Shoot,Right,0,TorsoVeloRelease,1.758,1.374,-0.385,,,,,,,,
Player 124,17559,Catch and Shoot,Right,0,TorsoVeloRelease,1.676,1.461,-0.214,timeToMaxHipFlexionNonDominantPreHitch,0.016,0.0,-0.016,,,,
