PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3,feat_4,orig_4,rec_4,delta_4
Player 102,12872,Catch and Shoot,Left,0,ElbowTotalROMDominant,-94.694,-97.554,-2.86,,,,,,,,,,,,
Player 102,12883,Catch and Shoot,Left,1,maxHipExtensionNonDominantPostHitch,10.396,7.0,-3.395,,,,,,,,,,,,
Player 102,12884,Catch and Shoot,Left,0,maxHipExtensionNonDominantPostHitch,10.472,7.892,-2.58,maxAnklePlantarflexionDominantPreHitch,22.284,24.056,1.772,,,,,,,,
Player 102,12891,Catch and Shoot,Left,0,maxElbowExtensionNonDominantPreHitch,65.212,74.5,9.288,,,,,,,,,,,,
Player 102,12931,Off the Dribble,Left,1,maxElbowFlexionAvgPreHitch,116.904,111.93,-4.974,ElbowFlexionAtT0Dominant,120.674,115.699,-4.974,,,,,,,,
Player 102,12961,Catch and Shoot,Left,0,ElbowTotalROMDominant,-94.811,-112.348,-17.537,Max.Ball.Released..Away.from.body.,0.677,0.572,-0.105,FeetAlignmentRelease,24.802,13.103,-11.698,,,,
Player 102,12971,Off the Dribble,Left,1,maxTorsoFlexionPostHitch,16.73,1.851,-14.88,maxAnkleDorsiflexionDominantPreHitch,5.545,9.46,3.916,,,,,,,,
Player 102,12974,Catch and Shoot,Left,0,maxTorsoFlexionPostHitch,1.045,-1.708,-2.752,,,,,,,,,,,,
Player 102,13040,Off the Dribble,Left,0,BallVeloRelease,6.605,6.141,-0.464,maxHipExtensionNonDominantPostHitch,7.547,9.494,1.947,,,,,,,,
Player 102,13083,Off the Dribble,Left,1,maxHipExtensionNonDominantPostHitch,2.263,9.165,6.902,,,,,,,,,,,,
Player 102,13178,Catch and Shoot,Left,0,Max.Ball.Released..Away.from.body.,0.603,0.803,0.2,maxShoulderExtensionDominantHitch,57.259,54.574,-2.685,,,,,,,,
Player 102,13196,Off the Dribble,Left,1,Max.Ball.Released..Away.from.body.,1.397,0.557,-0.84,maxKneeFlexionAvgHitch,-99.052,-111.889,-12.838,,,,,,,,
Player 102,13214,Catch and Shoot,Left,0,maxTorsoFlexionHitch,-22.914,-9.928,12.987,Max.Ball.Released..Away.from.body.,1.746,0.659,-1.087,,,,,,,,
Player 102,13217,Catch and Shoot,Left,1,MaxStanceGapHitch,0.588,0.529,-0.06,maxTorsoFlexionPostHitch,1.48,-2.177,-3.657,,,,,,,,
Player 102,13221,Catch and Shoot,Left,0,maxTorsoFlexionPostHitch,0.625,-4.184,-4.808,KneeFlexionAtT0Avg,-52.952,-63.897,-10.945,,,,,,,,
Player 102,13234,Catch and Shoot,Left,0,maxHipExtensionNonDominantPostHitch,10.984,6.479,-4.505,Max.Ball.Released..Away.from.body.,0.593,0.71,0.117,,,,,,,,
Player 102,13243,Catch and Shoot,Left,0,maxAnklePlantarflexionAvgHitch,-29.712,-19.202,10.509,maxHipFlexionDominantPreHitch,70.155,62.681,-7.474,HipAlignmentPreHitch,176.033,171.832,-4.201,,,,
Player 102,13249,Off the Dribble,Left,0,MaxStanceGapPostHitch,0.508,0.494,-0.014,maxShoulderFlexionDominantPostHitch,145.121,142.905,-2.216,,,,,,,,
Player 102,13259,Catch and Shoot,Left,1,MaxStanceGapHitch,0.592,0.538,-0.053,,,,,,,,,,,,
