PlayerId,ShotId,Shot.Type,hand,is_make,feat_1,orig_1,rec_1,delta_1,feat_2,orig_2,rec_2,delta_2,feat_3,orig_3,rec_3,delta_3
Player 125,17596,Catch and Shoot,Right,0,TorsoVeloRelease,1.698,1.463,-0.235,TorsoVeloPostHitch,0.408,0.253,-0.155,,,,
Player 125,17599,Off the Dribble,Right,0,maxAnklePlantarflexionAvgPreHitch,22.922,17.64,-5.283,,,,,,,,
Player 125,17614,Catch and Shoot,Right,1,TorsoVeloRelease,1.681,1.561,-0.121,,,,,,,,
Player 125,17617,Catch and Shoot,Right,1,TorsoVeloRelease,1.825,1.497,-0.329,,,,,,,,
Player 125,17618,Catch and Shoot,Right,0,TorsoVeloRelease,1.797,1.474,-0.323,timeToMaxAnklePlantarflexionDominantHitch,0.216,0.26,0.044,,,,
Player 125,17621,Catch and Shoot,Right,0,TorsoVeloRelease,1.701,1.473,-0.228,maxAnkleDorsiflexionNonDominantHitch,23.804,19.522,-4.282,,,,
Player 125,17622,Catch and Shoot,Right,1,TorsoVeloPostHitch,0.635,0.424,-0.211,BallVeloStart,-0.182,-0.0,0.182,,,,
Player 125,17639,Off the Dribble,Right,0,TorsoVeloRelease,1.494,1.442,-0.051,maxAnklePlantarflexionNonDominantPreHitch,23.468,15.833,-7.635,,,,
Player 125,17643,Off the Dribble,Right,0,TorsoVeloRelease,1.711,1.458,-0.253,maxHipExtensionNonDominantPostHitch,1.466,1.179,-0.287,,,,
Player 125,17644,Off the Dribble,Right,0,TorsoVeloRelease,1.488,1.474,-0.014,maxAnklePlantarflexionAvgPreHitch,22.466,15.721,-6.745,,,,
Player 125,17649,Catch and Shoot,Right,0,TorsoVeloRelease,1.855,1.455,-0.401,,,,,,,,
Player 125,17651,Catch and Shoot,Right,0,TorsoVeloRelease,1.757,1.476,-0.28,Max.Ball.Released..Away.from.body.,0.63,0.55,-0.08,maxElbowExtensionAvgHitch,105.92,101.731,-4.188
Player 125,17657,Catch and Shoot,Right,1,TorsoVeloRelease,1.83,1.595,-0.235,maxTorsoFlexionHitch,-3.305,-4.993,-1.687,,,,
Player 125,17681,Off the Dribble,Right,0,TorsoVeloRelease,1.743,1.412,-0.331,maxKneeFlexionAvgPostHitch,-55.7,-59.717,-4.017,,,,
Player 125,17683,Catch and Shoot,Right,0,maxKneeExtensionDominantPostHitch,-18.68,-15.248,3.433,ShoulderAlignmentPostHitch,-62.515,-52.321,10.194,,,,
Player 125,17688,Catch and Shoot,Right,0,TorsoVeloRelease,1.692,1.474,-0.219,Max.Ball.Released..Away.from.body.,0.652,0.549,-0.104,,,,
Player 125,17691,Catch and Shoot,Right,0,TorsoVeloRelease,1.683,1.431,-0.251,maxTorsoFlexionHitch,-3.534,-6.524,-2.99,,,,
Player 125,17715,Off the Dribble,Right,1,TorsoVeloRelease,1.657,1.53,-0.126,,,,,,,,
Player 125,17756,Off the Dribble,Right,0,TorsoVeloRelease,1.674,1.459,-0.215,MaxStanceGapRelease,0.509,0.45,-0.059,,,,
Player 125,17811,Catch and Shoot,Right,0,TorsoVeloRelease,1.848,1.429,-0.419,TorsoVeloPostHitch,0.285,0.211,-0.074,,,,
Player 125,17851,Catch and Shoot,Right,0,TorsoVeloRelease,1.766,1.407,-0.359,,,,,,,,
Player 125,17866,Off the Dribble,Right,0,TorsoVeloRelease,1.637,1.459,-0.178,ElbowFlexionAtT0Dominant,111.608,98.015,-13.593,,,,
Player 125,17873,Catch and Shoot,Right,0,TorsoVeloRelease,1.593,1.459,-0.134,Max.Ball.Released..Away.from.body.,0.603,0.544,-0.059,,,,
Player 125,17886,Catch and Shoot,Right,0,TorsoVeloRelease,1.744,1.423,-0.321,FeetAlignmentRelease,-6.28,-19.641,-13.361,,,,
Player 125,17891,Catch and Shoot,Right,1,TorsoVeloRelease,1.694,1.538,-0.156,,,,,,,,
